Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_TestListener,Chrome 122.0.0.0,,,02-03-2024 20:28:11,02-03-2024 20:29:08,56.790s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 122.0.0.0,,,02-03-2024 20:28:12,02-03-2024 20:29:08,55.887s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 122.0.0.0,,,02-03-2024 20:28:12,02-03-2024 20:28:24,11.847s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,02-03-2024 20:28:24,02-03-2024 20:28:28,3.459s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 122.0.0.0,,,02-03-2024 20:28:28,02-03-2024 20:28:40,11.971s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 122.0.0.0,,,02-03-2024 20:28:40,02-03-2024 20:28:46,6.070s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), username)",Chrome 122.0.0.0,,,02-03-2024 20:28:46,02-03-2024 20:28:59,13.474s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 122.0.0.0,,,02-03-2024 20:28:59,02-03-2024 20:29:04,5.199s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Forgot Password_password""), password)",Chrome 122.0.0.0,,,02-03-2024 20:29:04,02-03-2024 20:29:06,1.298s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 122.0.0.0,,,02-03-2024 20:29:06,02-03-2024 20:29:06,0.432s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,02-03-2024 20:29:06,02-03-2024 20:29:07,0.340s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,02-03-2024 20:29:07,02-03-2024 20:29:08,1.465s,PASSED
