Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_TestListener,Chrome 121.0.0.0,,,15-02-2024 22:09:58,15-02-2024 22:13:07,3m - 8.653s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 121.0.0.0,,,15-02-2024 22:09:58,15-02-2024 22:13:07,3m - 8.210s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,15-02-2024 22:09:59,15-02-2024 22:10:55,56.335s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,15-02-2024 22:10:56,15-02-2024 22:11:06,10.019s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,15-02-2024 22:11:06,15-02-2024 22:11:34,28.774s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 121.0.0.0,,,15-02-2024 22:11:34,15-02-2024 22:11:44,9.862s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), username)",Chrome 121.0.0.0,,,15-02-2024 22:11:44,15-02-2024 22:11:46,2.065s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 121.0.0.0,,,15-02-2024 22:11:46,15-02-2024 22:12:29,42.469s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Forgot Password_password""), password)",Chrome 121.0.0.0,,,15-02-2024 22:12:29,15-02-2024 22:12:30,0.805s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 121.0.0.0,,,15-02-2024 22:12:30,15-02-2024 22:12:59,29.645s,PASSED
"rightClick(findTestObject(""Object Repository/Amazon_Login_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, NarmadhaRavisankar""))",Chrome 121.0.0.0,,,15-02-2024 22:12:59,15-02-2024 22:13:01,1.985s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,15-02-2024 22:13:01,15-02-2024 22:13:07,5.376s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,15-02-2024 22:13:07,15-02-2024 22:13:07,0.009s,PASSED
